"tag"	"maxd"
1	2151.33200486579
2	1040.82762449228
3	1772.48198933022
4	833.094821377638
5	1129.90622653372
6	1333.45072913523
7	1221.04746119879
8	1302.77489427616
9	2196.0616973695
10	1514.06269229837
11	2087.31079834946
12	1163.74755645555
13	403.744460407397
14	1976.11167472345
15	1812.98185388051
16	1381.6442555194
17	1138.08748023
18	2253.81739278054
19	1889.22186097874
20	698.713703887359
21	801.325127523132
22	1742.00495119847
23	806.943517230305
24	1895.70124492231
25	837.807257070503
26	1811.47458165995
29	2206.89378086035
30	2066.72051569631
31	821.224110703052
32	1208.96081408787
33	1990.28475600852
34	1585.77219044856
35	1345.27216948836
36	1156.46061757415
37	1173.35306280764
38	1184.45371796456
39	1151.51248364922
40	896.424207616038
41	743.137376263601
42	1642.30759908124
43	1151.36250156064
44	1588.86400928463
45	1839.74060399829
46	1088.9574876918
47	1141.47886971244
48	2347.47895411226
