"tag"	"n"	"est"	"lwr"	"upr"	"period"	"vari"
1	1637	0.206844231539784	0.182789960417345	0.230925729143767	NA	"int"
1	1637	0.0408975127306781	0.00751430285747511	0.074346839541795	24	"sin"
1	1637	0.0371637812297237	0.00282420807968465	0.0710122904269557	24	"cos"
1	1637	0.0152323225467052	-0.0191886984962213	0.0495582661396144	12.4	"sin"
1	1637	-0.147543466786084	-0.181786325919043	-0.113683715463285	12.4	"cos"
2	1374	0.547587433025641	0.514873092555768	0.581184282598538	NA	"int"
2	1374	0.0473533612840929	0.000788311889029846	0.0952674592557284	24	"sin"
2	1374	0.0399027275445694	-0.00711176567903473	0.0854925893594528	24	"cos"
2	1374	0.00262223879847323	-0.0444259613062344	0.0497474067449561	12.4	"sin"
2	1374	-0.333543922839234	-0.380729482166883	-0.287578047505194	12.4	"cos"
3	1312	0.409215613985361	0.372412378628079	0.445152434271888	NA	"int"
3	1312	0.00940291877587862	-0.0451914062361072	0.0620504132048965	24	"sin"
3	1312	0.0456892291465288	-0.00472518448049407	0.0966503197390561	24	"cos"
3	1312	0.0125518035541901	-0.0386248391187398	0.0639395364876635	12.4	"sin"
3	1312	-0.204419890938018	-0.25691008292706	-0.150971977560024	12.4	"cos"
4	1617	0.400084011422732	0.362397491207813	0.437396298254906	NA	"int"
4	1617	0.0507846532281336	-0.00347420015403053	0.103255119651448	24	"sin"
4	1617	0.109324665433314	0.0551031813226229	0.16329770223898	24	"cos"
4	1617	-0.101086141214195	-0.155248630500373	-0.0489037156066316	12.4	"sin"
4	1617	0.00484711137673409	-0.0483606851641438	0.0590504935449195	12.4	"cos"
5	722	0.513903827018787	0.473760344122999	0.553971446409382	NA	"int"
5	722	-0.00324098883940084	-0.0614227725820764	0.0535292266010946	24	"sin"
5	722	-0.00603235056587942	-0.0614258506701931	0.049621302830152	24	"cos"
5	722	-0.0557101088380391	-0.11302658717009	0.000420058130125241	12.4	"sin"
5	722	-0.194276442414188	-0.250250945810592	-0.138773251031883	12.4	"cos"
6	248	0.58475333697428	0.508490473078655	0.661685765053675	NA	"int"
6	248	-0.00334061297438654	-0.11735084957477	0.107060862370547	24	"sin"
6	248	-0.238414722088621	-0.342325362669417	-0.137958782640475	24	"cos"
6	248	-0.119156203876156	-0.225510952262905	-0.0132810621407723	12.4	"sin"
6	248	-0.149286198682925	-0.255156525997683	-0.0405931325080758	12.4	"cos"
7	653	0.500755368763314	0.451530305372995	0.548893362920295	NA	"int"
7	653	-0.0488404470050759	-0.115929192380836	0.0202579215403309	24	"sin"
7	653	-0.0677705502168986	-0.139310889289549	0.00348531770620289	24	"cos"
7	653	0.0478138387983755	-0.0205240965956767	0.117645472394575	12.4	"sin"
7	653	-0.039544622929729	-0.110560305536083	0.0300985254627021	12.4	"cos"
8	143	0.658091170420578	0.443867007385935	0.870410987299955	NA	"int"
8	143	-0.0618676024691155	-0.250410963083771	0.12887923147879	24	"sin"
8	143	0.125566930251915	-0.0958384243271536	0.334489205923313	24	"cos"
8	143	-0.026862190427739	-0.219957094632021	0.17138299162349	12.4	"sin"
8	143	0.0250879426720838	-0.255671163148502	0.307081963543954	12.4	"cos"
9	805	0.341264973181252	0.283554272472662	0.397640622340969	NA	"int"
9	805	-0.0556241337717521	-0.135451489095842	0.0265247826492869	24	"sin"
9	805	0.0558960002288803	-0.0187591823880799	0.132692491990106	24	"cos"
9	805	0.00643935337505753	-0.0683729324133768	0.0795856860992799	12.4	"sin"
9	805	-0.129465010625753	-0.215865138431021	-0.0473479040732787	12.4	"cos"
10	1184	0.372738144596404	0.334623971272557	0.41169092939634	NA	"int"
10	1184	0.023265822746734	-0.0318792282571584	0.0781652817689424	24	"sin"
10	1184	0.075242442910116	0.0207547719085482	0.130763073993599	24	"cos"
10	1184	-0.0321393255756935	-0.0872461786345288	0.0232866452760917	12.4	"sin"
10	1184	-0.182598862952784	-0.238310082835188	-0.126413765033882	12.4	"cos"
11	237	0.416432975086845	0.293605416035105	0.5361806567168	NA	"int"
11	237	0.00475459515115417	-0.164720330196114	0.169671499272362	24	"sin"
11	237	0.0564332098603083	-0.110928146640884	0.216660264064565	24	"cos"
11	237	-0.0361350964084718	-0.178498245933159	0.111241040874385	12.4	"sin"
11	237	0.13473529520773	-0.0464539333421034	0.314165359216798	12.4	"cos"
14	1223	0.348497744642879	0.305573866059809	0.390498493435967	NA	"int"
14	1223	-0.0410211036340578	-0.10172699376772	0.0203011532072293	24	"sin"
14	1223	0.0649469137145599	0.00538096416514117	0.125526295227653	24	"cos"
14	1223	0.0688228366406104	0.00757672276864678	0.13061755935242	12.4	"sin"
14	1223	-0.152498091817878	-0.210867979542543	-0.0939257791537246	12.4	"cos"
15	1279	0.300403318669471	0.266626233010371	0.333546353392713	NA	"int"
15	1279	-0.037621889080352	-0.086467657809002	0.0107710383120198	24	"sin"
15	1279	0.0403439334352373	-0.00399572463852846	0.0858575556118197	24	"cos"
15	1279	0.0343776369443297	-0.0134031723969123	0.0825993548560136	12.4	"sin"
15	1279	-0.181142032746589	-0.228554946550712	-0.134835239897981	12.4	"cos"
16	318	0.485933325448536	0.431011124454231	0.540770727312192	NA	"int"
16	318	-0.182029835758571	-0.261300014087174	-0.102411642115855	24	"sin"
16	318	-0.0621045065476828	-0.13851512225535	0.0148621020917937	24	"cos"
16	318	-0.0212097696471298	-0.102261107807913	0.0596299057978019	12.4	"sin"
16	318	0.0366041310331797	-0.0398759095125651	0.111555689370184	12.4	"cos"
17	1457	0.407463083803611	0.377768440783938	0.437542582501573	NA	"int"
17	1457	0.00504546301696436	-0.0358501729108822	0.0474530471474573	24	"sin"
17	1457	0.0775878062091664	0.0351209674128527	0.11973293377502	24	"cos"
17	1457	-0.00816468669621057	-0.0494824116047613	0.0328230306892539	12.4	"sin"
17	1457	-0.206058976669237	-0.248539560539302	-0.162271808001792	12.4	"cos"
18	1371	0.447723525245215	0.420560692888447	0.475386129275396	NA	"int"
18	1371	0.00671491682524739	-0.033130371611841	0.0456309540156576	24	"sin"
18	1371	0.0706653791849099	0.0333099563275752	0.109043437857902	24	"cos"
18	1371	-0.00759638927419145	-0.0469694052085855	0.0307957180421647	12.4	"sin"
18	1371	-0.319424868416184	-0.357231542481611	-0.280954916727929	12.4	"cos"
19	1058	0.285770468215898	0.245294712997676	0.325542495565301	NA	"int"
19	1058	0.0234594994936247	-0.0328656971443269	0.0776304799652632	24	"sin"
19	1058	0.0815182755150907	0.0251771468532827	0.136939670206751	24	"cos"
19	1058	-0.0633423382439064	-0.118790887285333	-0.00646457872849606	12.4	"sin"
19	1058	-0.153769947503854	-0.206524404185352	-0.100746256155984	12.4	"cos"
20	992	0.644526854383389	0.606255286982165	0.683302368825117	NA	"int"
20	992	0.0157866121572507	-0.0386737317046911	0.0681059584832197	24	"sin"
20	992	-0.0523305514373227	-0.103435196786804	-0.000150792466296629	24	"cos"
20	992	0.0196228981475298	-0.0321151972090737	0.0726582273876897	12.4	"sin"
20	992	-0.236192800809769	-0.290300877737768	-0.180834829615483	12.4	"cos"
22	1454	0.558542968456947	0.528328187440532	0.588735849733255	NA	"int"
22	1454	0.081221422385	0.0389840850518231	0.125042771519403	24	"sin"
22	1454	0.00830154506139583	-0.0347554953822409	0.0516063580976186	24	"cos"
22	1454	-0.0585109679563122	-0.103813347448489	-0.0143348984659787	12.4	"sin"
22	1454	-0.309907110733767	-0.351637348370566	-0.26751104152175	12.4	"cos"
23	118	0.117534132503525	0.00121880018307169	0.231200426345551	NA	"int"
23	118	-0.0865133368064341	-0.245890052928286	0.0794132318142915	24	"sin"
23	118	-0.0205169866317661	-0.188544854357779	0.141355530704348	24	"cos"
23	118	0.0593181446253758	-0.109324247674363	0.225402078318422	12.4	"sin"
23	118	-0.0722246776528858	-0.232357164376015	0.0878139266456728	12.4	"cos"
24	1327	0.314950801925734	0.283170344147072	0.34728931086063	NA	"int"
24	1327	0.0563080040830778	0.0118305056585043	0.101278905459012	24	"sin"
24	1327	0.0553401364005272	0.0103685071260189	0.0993444777253325	24	"cos"
24	1327	-0.0784333778999285	-0.124170133337341	-0.0336587397971341	12.4	"sin"
24	1327	-0.261358504602893	-0.305493761592589	-0.216112082065517	12.4	"cos"
25	1006	0.493321877205443	0.455549056081457	0.529180559744571	NA	"int"
25	1006	-0.0180750525370073	-0.0725245776354832	0.035909416548362	24	"sin"
25	1006	-0.023622718589446	-0.0742654243861366	0.0265647986520907	24	"cos"
25	1006	-0.039662732395269	-0.0923488979090146	0.00999610893742541	12.4	"sin"
25	1006	-0.207188511888358	-0.262121784959481	-0.154724676403167	12.4	"cos"
26	177	0.256010262607146	0.0458753553757111	0.459816311624432	NA	"int"
26	177	-0.00942866211197964	-0.179732695309116	0.159837271433996	24	"sin"
26	177	-0.0422100793392714	-0.300092398171894	0.209914634561813	24	"cos"
26	177	-0.120368873542178	-0.294170540177025	0.0571779628212599	12.4	"sin"
26	177	-0.141098609375277	-0.346633154928596	0.0612179901452703	12.4	"cos"
27	1240	0.469203416202427	0.433589998918976	0.504011458157567	NA	"int"
27	1240	0.0195750141890345	-0.0304351254093005	0.0691945043035258	24	"sin"
27	1240	0.0557019901182729	0.00798852570827918	0.104765152110871	24	"cos"
27	1240	0.00328493657042521	-0.0445021396878151	0.0531031604726145	12.4	"sin"
27	1240	-0.380778216027297	-0.430507462527371	-0.331298905853641	12.4	"cos"
28	1367	0.321798396329007	0.292564987018841	0.351255879181885	NA	"int"
28	1367	0.0194861207220644	-0.022847428369776	0.0624646339136376	24	"sin"
28	1367	0.0810398889480981	0.0398477218519341	0.121180030473523	24	"cos"
28	1367	-0.0169492297264744	-0.0576729545616623	0.0239556455720431	12.4	"sin"
28	1367	-0.164578771034476	-0.207192855384143	-0.12173584117194	12.4	"cos"
29	1073	0.606655223737352	0.582220313328025	0.631057254618459	NA	"int"
29	1073	0.00204245124476374	-0.0307807385791964	0.0359477309430764	24	"sin"
29	1073	-0.0286886936203018	-0.0631550694097697	0.00545572923562375	24	"cos"
29	1073	-0.0405134509727511	-0.0746032873464826	-0.00700449581857367	12.4	"sin"
29	1073	-0.363225940519666	-0.397588310622541	-0.328892029178399	12.4	"cos"
30	1320	0.576935789090783	0.546908019197738	0.607187022782393	NA	"int"
30	1320	0.00517592705367101	-0.0374016505508013	0.0476076798797197	24	"sin"
30	1320	-0.0102777479540531	-0.0515462469331228	0.0314906735023767	24	"cos"
30	1320	-0.0566565921161116	-0.0995197365447066	-0.0145244252236086	12.4	"sin"
30	1320	-0.429819352590746	-0.4718403150642	-0.386881348587686	12.4	"cos"
32	1031	0.343296425047446	0.294436605007026	0.392636591022287	NA	"int"
32	1031	-0.013805428205111	-0.0843105474741224	0.0566282256014008	24	"sin"
32	1031	0.0853323153250677	0.0158746748150166	0.153531845964874	24	"cos"
32	1031	-0.00232292828048323	-0.0702139169241768	0.065761950344999	12.4	"sin"
32	1031	-0.151335114043216	-0.221461480474523	-0.080786955772881	12.4	"cos"
33	1280	0.333640521501225	0.304685805027363	0.363006164333253	NA	"int"
33	1280	0.0436564000424169	0.00154772219663161	0.0858767353629447	24	"sin"
33	1280	0.0445934011379835	0.00508594017012806	0.0839190873872787	24	"cos"
33	1280	-0.0118142012869851	-0.0514428302735727	0.0280597027727864	12.4	"sin"
33	1280	-0.229695621128331	-0.271549482012566	-0.188336075569515	12.4	"cos"
34	761	0.504312670663075	0.472714328888462	0.536127396314619	NA	"int"
34	761	0.0252402339223934	-0.0208136782456129	0.0699102402805191	24	"sin"
34	761	-0.0417518301404945	-0.0846372304371903	0.000500095763470514	24	"cos"
34	761	-0.0286823956795872	-0.0729245733146377	0.0148644936798907	12.4	"sin"
34	761	-0.320636778301459	-0.365191754248809	-0.276025957898159	12.4	"cos"
35	931	0.530778169650262	0.491999482892608	0.569549110974596	NA	"int"
35	931	-0.0870947512859742	-0.140877584891119	-0.0312721240700635	24	"sin"
35	931	-0.0209749317892512	-0.0753052135956203	0.0322163005849488	24	"cos"
35	931	-0.0103850920003392	-0.0624927726978414	0.042007364837869	12.4	"sin"
35	931	-0.3740440969353	-0.429890859674676	-0.317959744923513	12.4	"cos"
36	945	0.402725516586996	0.354887246202285	0.44979978366201	NA	"int"
36	945	-0.0412976613219277	-0.108605885775854	0.023160811185221	24	"sin"
36	945	-0.168091903176962	-0.238065251954272	-0.10090755100254	24	"cos"
36	945	0.0228105655601624	-0.0466811373164441	0.0911945862299431	12.4	"sin"
36	945	-0.210549241543823	-0.275477956504413	-0.144736268229138	12.4	"cos"
37	644	0.372987502188556	0.322356638893692	0.424409838781766	NA	"int"
37	644	-0.165026246488013	-0.237237615720242	-0.0936851644500179	24	"sin"
37	644	0.0251629247251719	-0.047860350366724	0.0978833103161651	24	"cos"
37	644	0.0750288506788715	0.00122581663136125	0.149260371289937	12.4	"sin"
