"nTideTime" "rad_dn" "rad_t" "pred" "lwr" "upr" "tag"
-6.2 3.22513432815172 -3.14159265358979 0.313940854794602 0.259353892653925 0.369227895722161 1
-6.15852842809365 3.22513432815172 -3.12057865590692 0.313588210840809 0.258911994803062 0.368937592512378 1
-6.11705685618729 3.22513432815172 -3.09956465822404 0.313170571563244 0.258537774038492 0.368480796308101 1
-6.07558528428094 3.22513432815172 -3.07855066054117 0.312688121379655 0.258140817175788 0.367752716649772 1
-6.03411371237458 3.22513432815172 -3.05753666285829 0.312141073326461 0.257669074816059 0.367076431739387 1
-5.99264214046823 3.22513432815172 -3.03652266517542 0.311529668964683 0.257020917637612 0.36640765841703 1
-5.95117056856187 3.22513432815172 -3.01550866749254 0.310854178273276 0.256314309697984 0.365696058682072 1
-5.90969899665552 3.22513432815172 -2.99449466980967 0.310114899529912 0.255555735435208 0.365014488623168 1
-5.86822742474916 3.22513432815172 -2.97348067212679 0.309312159179274 0.254748094031777 0.364243809963831 1
-5.82675585284281 3.22513432815172 -2.95246667444392 0.308446311688901 0.253776490872186 0.363446896281752 1
-5.78528428093646 3.22513432815172 -2.93145267676104 0.307517739392672 0.252781903771591 0.36243128877973 1
-5.7438127090301 3.22513432815172 -2.91043867907817 0.306526852321971 0.251845203397611 0.361259460839838 1
-5.70234113712375 3.22513432815172 -2.88942468139529 0.305474088024635 0.250731783159635 0.360139434995937 1
-5.66086956521739 3.22513432815172 -2.86841068371242 0.304359911371741 0.249560080957262 0.359098392545553 1
-5.61939799331104 3.22513432815172 -2.84739668602954 0.303184814352333 0.248457470326758 0.35789205433657 1
-5.57792642140468 3.22513432815172 -2.82638268834667 0.301949315856175 0.247192011225385 0.356722303329178 1
-5.53645484949833 3.22513432815172 -2.8053686906638 0.300653961444622 0.245780381158399 0.355325000950055 1
-5.49498327759197 3.22513432815172 -2.78435469298092 0.299299323109716 0.244446346906184 0.35380576993445 1
-5.45351170568562 3.22513432815172 -2.76334069529805 0.297885999021612 0.242895932375822 0.35217524921429 1
-5.41204013377926 3.22513432815172 -2.74232669761517 0.29641461326444 0.241307179377588 0.35071750685894 1
-5.37056856187291 3.22513432815172 -2.7213126999323 0.294885815560729 0.239449949846097 0.349299954803882 1
-5.32909698996656 3.22513432815172 -2.70029870224942 0.293300280984508 0.238014002304838 0.347635161796814 1
-5.2876254180602 3.22513432815172 -2.67928470456655 0.291658709663211 0.236286384952786 0.345923948712095 1
-5.24615384615385 3.22513432815172 -2.65827070688367 0.289961826468522 0.234650998726208 0.344328005294617 1
-5.20468227424749 3.22513432815172 -2.6372567092008 0.288210380696289 0.233029949698775 0.34272800367892 1
-5.16321070234114 3.22513432815172 -2.61624271151792 0.286405145735662 0.231339898852748 0.340759031507956 1
-5.12173913043478 3.22513432815172 -2.59522871383505 0.284546918727578 0.229448704235814 0.338971360435855 1
-5.08026755852843 3.22513432815172 -2.57421471615217 0.282636520212773 0.227467438713362 0.3370871050256 1
-5.03879598662207 3.22513432815172 -2.5532007184693 0.280674793769453 0.225449679566867 0.335289534338388 1
-4.99732441471572 3.22513432815172 -2.53218672078642 0.278662605640789 0.223376334802129 0.333250974646593 1
-4.95585284280936 3.22513432815172 -2.51117272310355 0.276600844352413 0.221209624613734 0.331211382469468 1
-4.91438127090301 3.22513432815172 -2.49015872542067 0.274490420320069 0.218993121058995 0.328932550662257 1
-4.87290969899666 3.22513432815172 -2.4691447277378 0.2723322654476 0.216915496699902 0.326813968234211 1
-4.8314381270903 3.22513432815172 -2.44813073005492 0.270127332715443 0.21485795603282 0.324645565918954 1
-4.78996655518395 3.22513432815172 -2.42711673237205 0.26787659575982 0.212673371411306 0.32250516360521 1
-4.74849498327759 3.22513432815172 -2.40610273468917 0.26558104844281 0.210336683837312 0.320284880897484 1
-4.70702341137124 3.22513432815172 -2.3850887370063 0.263241704413486 0.208100211414549 0.317746619156497 1
-4.66555183946488 3.22513432815172 -2.36407473932342 0.260859596660317 0.205841012304023 0.315257989110389 1
-4.62408026755853 3.22513432815172 -2.34306074164055 0.258435777055027 0.203535310524332 0.313009005875843 1
-4.58260869565217 3.22513432815172 -2.32204674395767 0.25597131588812 0.201041627994935 0.31059444601233 1
-4.54113712374582 3.22513432815172 -2.3010327462748 0.253467301396271 0.198441999428472 0.307955314944308 1
-4.49966555183947 3.22513432815172 -2.28001874859192 0.250924839281788 0.195974821105586 0.305569407776409 1
-4.45819397993311 3.22513432815172 -2.25900475090905 0.248345052224367 0.193336041391275 0.303013982718457 1
-4.41672240802676 3.22513432815172 -2.23799075322617 0.245729079385349 0.190966822301711 0.300486883795028 1
-4.3752508361204 3.22513432815172 -2.2169767555433 0.243078075904698 0.188502999712772 0.297848788347721 1
-4.33377926421405 3.22513432815172 -2.19596275786042 0.240393212390922 0.186013644431971 0.295054930221826 1
-4.29230769230769 3.22513432815172 -2.17494876017755 0.237675674404165 0.183360059944227 0.292188444298186 1
-4.25083612040134 3.22513432815172 -2.15393476249467 0.234926661932702 0.180424937248875 0.289472714770473 1
-4.20936454849498 3.22513432815172 -2.1329207648118 0.232147388863052 0.177578806864962 0.286679372527652 1
-4.16789297658863 3.22513432815172 -2.11190676712892 0.229339082443962 0.174977298933145 0.283663953889223 1
-4.12642140468227 3.22513432815172 -2.09089276944605 0.226502982744491 0.172168565362439 0.280858321528443 1
-4.08494983277592 3.22513432815172 -2.06987877176317 0.223640342106426 0.169365206056166 0.277961021500221 1
-4.04347826086957 3.22513432815172 -2.0488647740803 0.220752424591286 0.166361434362175 0.275084400763537 1
