Tag	Timestamp	Timestamp.loc	date	day	rhour	x	y	ClosestRoost
1	10-1-2013 18:30	10-1-2013 17:30	10-1-2013	35	17.5	364661.2188	2197953.25	1
1	10-1-2013 19:00	10-1-2013 18:00	10-1-2013	35	18	364697.9375	2197917.5	1
1	10-1-2013 19:30	10-1-2013 18:30	10-1-2013	35	18.5	364706.5	2197888.25	1
1	10-1-2013 20:00	10-1-2013 19:00	10-1-2013	35	19	364737.7188	2197814	1
1	10-1-2013 20:30	10-1-2013 19:30	10-1-2013	35	19.5	364798.9688	2197780	1
1	10-1-2013 21:00	10-1-2013 20:00	10-1-2013	35	20	364924.8125	2197505.5	1
1	10-1-2013 21:30	10-1-2013 20:30	10-1-2013	35	20.5	364890.125	2197460.5	1
1	10-1-2013 22:00	10-1-2013 21:00	10-1-2013	35	21	363820.2969	2196171.875	1
1	11-1-2013 04:00	11-1-2013 03:00	11-1-2013	34	3	364406.0469	2197622.75	1
1	11-1-2013 04:30	11-1-2013 03:30	11-1-2013	34	3.5	364392.8438	2197586.5	1
1	11-1-2013 05:00	11-1-2013 04:00	11-1-2013	34	4	364448.5313	2197602.25	1
1	11-1-2013 05:30	11-1-2013 04:30	11-1-2013	34	4.5	364666.4688	2197972.75	1
1	11-1-2013 06:00	11-1-2013 05:00	11-1-2013	34	5	364358.6094	2198079.5	1
1	11-1-2013 06:30	11-1-2013 05:30	11-1-2013	34	5.5	364673.0156	2197593.375	1
1	11-1-2013 07:00	11-1-2013 06:00	11-1-2013	34	6	364685.8125	2197534	1
1	11-1-2013 07:30	11-1-2013 06:30	11-1-2013	34	6.5	364691.0938	2197535	1
1	11-1-2013 08:00	11-1-2013 07:00	11-1-2013	34	7	364716.75	2197551	1
1	11-1-2013 08:30	11-1-2013 07:30	11-1-2013	34	7.5	364685.0625	2197884.5	1
1	11-1-2013 09:00	11-1-2013 08:00	11-1-2013	34	8	364643.9063	2197961	1
1	11-1-2013 09:30	11-1-2013 08:30	11-1-2013	34	8.5	364369	2198061.375	1
1	11-1-2013 10:00	11-1-2013 09:00	11-1-2013	34	9	364699.125	2197916	1
1	11-1-2013 10:30	11-1-2013 09:30	11-1-2013	34	9.5	364712.4688	2197907	1
1	11-1-2013 11:00	11-1-2013 10:00	11-1-2013	34	10	364749.5	2197868.75	1
